测站点,观测方向,观测类型,观测值,测站高,棱镜高,站点序号(平差),目标序号(平差) 
p3,p2,Vertical,1.573368439,0.286500007,0.287,2,1
p3,p2,Sdist,51.77728299,0.286500007,0.287,2,1
p3,p2,Hz,0.174573247,0.286500007,0.287,2,1
p3,p2,Vertical,1.57337184,0.286500007,0.287,2,1
p3,p2,Sdist,51.77738299,0.286500007,0.287,2,1
p3,p2,Hz,0.174589895,0.286500007,0.287,2,1
p3,p2,Vertical,1.573358134,0.286500007,0.287,2,1
p3,p2,Sdist,51.77748299,0.286500007,0.287,2,1
p3,p2,Hz,0.174586134,0.286500007,0.287,2,1
p3,p2,Vertical,1.57336721,0.286500007,0.287,2,1
p3,p2,Sdist,51.77728299,0.286500007,0.287,2,1
p3,p2,Hz,0.174589987,0.286500007,0.287,2,1
p3,p2,Vertical,1.573373934,0.286500007,0.287,2,1
p3,p2,Sdist,51.77718298,0.286500007,0.287,2,1
p3,p2,Hz,0.174591155,0.286500007,0.287,2,1
p3,p2,Vertical,1.573374731,0.286500007,0.287,2,1
p3,p2,Sdist,51.77718298,0.286500007,0.287,2,1
p3,p2,Hz,0.174588974,0.286500007,0.287,2,1
p3,p2,Vertical,1.573367551,0.286500007,0.287,2,1
p3,p2,Sdist,51.77728299,0.286500007,0.287,2,1
p3,p2,Hz,0.174588277,0.286500007,0.287,2,1
p3,p2,Vertical,1.573363021,0.286500007,0.287,2,1
p3,p2,Sdist,51.77718298,0.286500007,0.287,2,1
p3,p2,Hz,0.174599995,0.286500007,0.287,2,1
p3,p2,Vertical,1.573356897,0.286500007,0.287,2,1
p3,p2,Sdist,51.77718298,0.286500007,0.287,2,1
p3,p4,Hz,4.125443447,0.286500007,0.2865,2,3
p3,p4,Vertical,1.579356104,0.286500007,0.2865,2,3
p3,p4,Sdist,22.74672432,0.286500007,0.2865,2,3
p3,p4,Hz,4.125455711,0.286500007,0.287,2,3
p3,p4,Vertical,1.579346197,0.286500007,0.287,2,3
p3,p4,Sdist,22.74662432,0.286500007,0.287,2,3
p3,p4,Hz,4.125438957,0.286500007,0.2865,2,3
p3,p4,Vertical,1.579350834,0.286500007,0.2865,2,3
p3,p4,Sdist,22.74682432,0.286500007,0.2865,2,3
p3,p4,Hz,4.125451093,0.286500007,0.2865,2,3
